pacManEaten,numActivePills,numActivePowerPills,score,pacManDistanceToUnedibleBlinky,pacManDistanceToUnedibleInky,pacManDistanceToUnediblePinky,pacManDistanceToUnedibleSue,pacManNearestGhostEdible,pacManDistanceToNearestGhostUnder20,pacManNearestGhostEdibleAndUnder40,pacManDistanceToNearestPill,numTotalActivePills,numLevel,levelTime,totalGameTime,numGhostsEaten,livesRemaining,gameOver,wasPillEaten,wasPowerPillEaten,pacManNumPossibleMoves,blinkyNumPossibleMoves,inkyNumPossibleMoves,pinkyNumPossibleMoves,sueNumPossibleMoves,distanceToNextNearestPillMOreThan10IfPillJustEaten,distanceToNearestPillAboveFive,pacManLastMoveLeft,pacManLastMoveDown,pacManDistanceToNearestGhostIfUnder10,pacManDistanceToNearestGhostIfUnder5,likelyNotStuck,reversedDirection,pacManDistanceToNearestGhostEdibleIfUnder10,pacManDistanceToNearestGhostEdibleIfUnder5
-105,-239,-416,13,-139,128,20,277,-115,142,237,-79,-57,112,312,-119,127,436,-371,482,-215,-39,164,-239,289,0,-317,49,-150,127,76,60,52,-440,-449,-397
473,355,-416,-219,-268,314,-198,339,-394,468,-425,439,-386,-90,312,-273,-400,-60,-139,482,-30,-253,182,341,438,-143,-122,-94,205,40,76,-445,194,-219,363,-399
393,355,-468,-219,-127,-84,403,339,100,-403,47,-170,-324,126,312,480,32,-60,-371,38,485,54,182,301,289,-143,-354,259,90,-114,76,60,243,-219,-221,-88
473,-239,-416,-219,-233,314,20,204,-394,-164,93,-181,26,-90,312,-273,172,436,-139,369,65,-77,-393,-239,160,-143,-317,-94,-150,113,76,-445,194,-381,-449,-88
41,-59,-416,-274,394,314,-198,277,-223,-28,47,439,193,-90,312,372,-147,436,-12,-432,485,-253,24,301,438,-364,-122,394,-166,-1,76,-445,52,-436,288,-215
473,333,240,-219,226,319,20,335,-426,-90,-425,-93,-386,-423,312,480,127,-366,-224,482,485,-253,-393,33,438,-143,-122,-171,205,-13,76,-445,52,-347,440,-88
393,43,-258,-274,381,-307,20,277,-311,468,-425,79,193,-90,190,-273,172,245,0,482,256,-282,-316,493,-411,0,-122,24,-98,113,-245,-199,153,324,92,-88
393,-59,-416,-441,-212,314,20,277,271,267,-425,79,26,112,312,294,46,436,461,-152,-30,44,24,341,-176,-348,-122,-80,-166,227,68,60,52,-381,-449,-230
-105,-59,-49,-361,493,319,20,480,-269,-164,47,-181,26,-90,-254,480,172,458,-12,38,242,44,-393,-397,-114,-143,-7,-94,-166,113,76,500,52,88,92,-363
-92,-59,-416,120,-212,469,20,480,-269,-164,-425,324,26,95,-254,480,317,-384,-139,482,485,273,24,341,-176,485,-410,-80,247,113,-362,-460,-75,-108,92,-88
41,-59,-416,-219,435,-307,20,277,-394,-124,47,56,-386,483,71,-270,317,245,314,-432,485,-253,-316,-239,160,-143,-494,462,247,-13,393,409,-75,-381,-449,-88
-51,-239,-212,-219,226,-307,260,277,464,142,47,56,-386,-90,71,-270,172,245,121,-480,408,-253,-351,343,-176,-348,-122,-101,-166,-13,393,87,-227,290,440,-449
393,-59,-49,-361,-212,298,487,277,450,484,-425,152,-386,-423,-254,480,172,436,484,-413,-485,44,-351,484,-176,-348,-133,-80,-166,448,76,-467,52,-65,-449,-363
393,-239,-332,-361,493,319,20,277,-209,-222,47,-181,332,-439,190,244,172,-60,484,-28,485,-4,-316,33,-114,-348,192,-94,-166,491,76,-460,153,324,-449,-363
197,132,387,-361,226,314,20,277,-73,142,62,-268,26,483,312,-273,172,458,-203,-169,256,-253,-109,-239,-176,-143,86,-262,198,-75,393,87,424,290,-449,-360
41,52,167,-219,226,-185,-437,480,464,-124,47,-292,26,-90,190,480,127,245,-470,-342,242,273,-316,-370,-176,-175,-494,184,125,-20,396,63,-227,-381,440,-96
